ID	Valid	Case	MassFlowPerTube	InnerRadius(m)	PressureDrop(Pa)	OutletTemperature(K)	HeatTransferBalance_Inlet/Outlet(W)	HeatTransferPerAreaMean(W/m2)	HeatTransferPerAreaSTD(W/m2)	HeatTransferPerAreaVAR(W/m2)	HeatTransferMean(W)	HeatTransferSTD(W)	HeatTransferVAR(W)	Continuity	SolvingStatus
59	1	a-line	0.025	0.063	0.7855886744655436	1243.8098075113758	-99229.80940437748	43263.30249972099	1180.273961588529	1393046.62440388	19843.339681124013	541.3497302185316	293059.5304076769	3.954985e-05	converged
60	1	a-line	0.025	0.063	0.8104319528210908	1244.9100358156052	-98938.3658326925	43135.77356275951	1154.7561181233616	1333461.692343335	19784.846688932397	529.6456020879497	280524.4638111067	4.063899e-05	converged
61	1	a-line	0.030	0.063	1.3064558704209048	1296.5327466725603	-101906.54183610322	44433.12110906011	2018.5552474557755	4074565.2870312473	20379.893912751733	925.8395713234913	857178.9118284661	1.418204e-03	converged
62	1	a-line	0.030	0.063	1.2871795188693795	1290.6995310085163	-103560.36144559807	45148.42125494618	1563.8490481271372	2445623.845328153	20707.97667455353	717.2819937218039	514493.45851752604	9.403649e-04	converged
63	1	a-line	0.030	0.063	1.1583827902795747	1291.7892105280764	-79138.33577035813	45376.06744117027	1527.6980273005036	2333861.26261785	20812.437298909364	700.7024010196856	490983.85479475226	8.053135e-03	converged
64	-2	a-line	0.030	0.063	1.944755e+00	1.216732e+03	-102346.76760640697	20412.814760725592	1369.1796403671328	1874652.887595871	9362.654175632464	627.9954835889882	394378.3274081672	8.817325e-03	converged
65	1	a-line	0.030	0.063	1.2189557717938442	1281.4166873347867	-106123.39564423883	46262.329324239734	950.9207190855175	904250.2139861177	21218.886728003097	436.1535469640747	190229.9165293433	1.316739e-03	converged
66	1	a-line	0.030	0.063	1.2053985779639333	1280.308712349142	-106397.60923511873	46395.26420619221	880.1867521449475	774728.7186514712	21279.85923508505	403.7103895559059	162982.0786353813	1.238345e-03	converged
67	1	a-line	0.030	0.063	1.1984672474936815	1279.3702270683011	-106687.30688616677	46506.18502090561	820.0598637090338	672498.1800664791	21330.734671699705	376.132322180897	141475.52378919412	1.209217e-03	converged
68	1	a-line	0.030	0.063	1.1720669793285197	1277.6483428721724	-107142.86261665536	46707.040635028054	734.3337537310106	539246.0618686765	21422.86000535675	336.81280144281635	113442.86321575804	9.789150e-04	converged
